seed,class_weight,threshold,precision,recall,f1,meets_primary,meets_secondary
14,balanced,0.3,0.5,1.0,0.6667,no,yes
14,balanced,0.4,0.5,1.0,0.6667,no,yes
14,balanced,0.5,0.7311,0.6259,0.6744,yes,yes
14,balanced,0.6,0.0,0.0,0.0,no,no
14,balanced,0.7,0.0,0.0,0.0,no,no
14,balanced,0.8,0.0,0.0,0.0,no,no
15,None,0.2,0.5,1.0,0.6667,no,yes
15,None,0.3,0.5,1.0,0.6667,no,yes
15,None,0.4,0.5,1.0,0.6667,no,yes
15,None,0.5,0.7377,0.6475,0.6897,yes,yes
15,None,0.6,0.0,0.0,0.0,no,no
15,None,0.7,0.0,0.0,0.0,no,no
15,None,0.8,0.0,0.0,0.0,no,no
15,balanced,0.2,0.5,1.0,0.6667,no,yes
15,balanced,0.3,0.5,1.0,0.6667,no,yes
15,balanced,0.4,0.5,1.0,0.6667,no,yes
15,balanced,0.5,0.75,0.6475,0.695,yes,yes
15,balanced,0.6,0.0,0.0,0.0,no,no
15,balanced,0.7,0.0,0.0,0.0,no,no
15,balanced,0.8,0.0,0.0,0.0,no,no
16,None,0.2,0.5,1.0,0.6667,no,yes
16,None,0.3,0.5,1.0,0.6667,no,yes
16,None,0.4,0.5,1.0,0.6667,no,yes
16,None,0.5,0.7724,0.6835,0.7252,yes,yes
16,None,0.6,0.0,0.0,0.0,no,no
16,None,0.7,0.0,0.0,0.0,no,no
16,None,0.8,0.0,0.0,0.0,no,no
16,balanced,0.2,0.5,1.0,0.6667,no,yes
16,balanced,0.3,0.5,1.0,0.6667,no,yes
16,balanced,0.4,0.5,1.0,0.6667,no,yes
16,balanced,0.5,0.7742,0.6906,0.73,yes,yes
16,balanced,0.6,0.0,0.0,0.0,no,no
16,balanced,0.7,0.0,0.0,0.0,no,no
16,balanced,0.8,0.0,0.0,0.0,no,no
17,None,0.2,0.5,1.0,0.6667,no,yes
17,None,0.3,0.5,1.0,0.6667,no,yes
17,None,0.4,0.5,1.0,0.6667,no,yes
17,None,0.5,0.7863,0.6619,0.7188,yes,yes
17,None,0.6,0.0,0.0,0.0,no,no
17,None,0.7,0.0,0.0,0.0,no,no
17,None,0.8,0.0,0.0,0.0,no,no
17,balanced,0.2,0.5,1.0,0.6667,no,yes
17,balanced,0.3,0.5,1.0,0.6667,no,yes
17,balanced,0.4,0.5,1.0,0.6667,no,yes
17,balanced,0.5,0.7913,0.6547,0.7165,yes,yes
17,balanced,0.6,0.0,0.0,0.0,no,no
17,balanced,0.7,0.0,0.0,0.0,no,no
17,balanced,0.8,0.0,0.0,0.0,no,no
18,None,0.2,0.5,1.0,0.6667,no,yes
18,None,0.3,0.5,1.0,0.6667,no,yes
18,None,0.4,0.5,1.0,0.6667,no,yes
18,None,0.5,0.7805,0.6906,0.7328,yes,yes
18,None,0.6,0.0,0.0,0.0,no,no
18,None,0.7,0.0,0.0,0.0,no,no
18,None,0.8,0.0,0.0,0.0,no,no
18,balanced,0.2,0.5,1.0,0.6667,no,yes
18,balanced,0.3,0.5,1.0,0.6667,no,yes
18,balanced,0.4,0.5,1.0,0.6667,no,yes
18,balanced,0.5,0.7869,0.6906,0.7356,yes,yes
18,balanced,0.6,0.0,0.0,0.0,no,no
18,balanced,0.7,0.0,0.0,0.0,no,no
18,balanced,0.8,0.0,0.0,0.0,no,no
19,None,0.2,0.5,1.0,0.6667,no,yes
19,None,0.3,0.5,1.0,0.6667,no,yes
19,None,0.4,0.5,1.0,0.6667,no,yes
19,None,0.5,0.7586,0.6331,0.6902,yes,yes
19,None,0.6,0.0,0.0,0.0,no,no
19,None,0.7,0.0,0.0,0.0,no,no
19,None,0.8,0.0,0.0,0.0,no,no
19,balanced,0.2,0.5,1.0,0.6667,no,yes
19,balanced,0.3,0.5,1.0,0.6667,no,yes
19,balanced,0.4,0.5,1.0,0.6667,no,yes
19,balanced,0.5,0.7586,0.6331,0.6902,yes,yes
19,balanced,0.6,0.0,0.0,0.0,no,no
19,balanced,0.7,0.0,0.0,0.0,no,no
19,balanced,0.8,0.0,0.0,0.0,no,no
20,None,0.2,0.5,1.0,0.6667,no,yes
20,None,0.3,0.5,1.0,0.6667,no,yes
20,None,0.4,0.5,1.0,0.6667,no,yes
20,None,0.5,0.6957,0.5755,0.6299,yes,yes
20,None,0.6,0.0,0.0,0.0,no,no
20,None,0.7,0.0,0.0,0.0,no,no
20,None,0.8,0.0,0.0,0.0,no,no
20,balanced,0.2,0.5,1.0,0.6667,no,yes
20,balanced,0.3,0.5,1.0,0.6667,no,yes
20,balanced,0.4,0.5,1.0,0.6667,no,yes
20,balanced,0.5,0.7069,0.5899,0.6431,yes,yes
20,balanced,0.6,0.0,0.0,0.0,no,no
20,balanced,0.7,0.0,0.0,0.0,no,no
20,balanced,0.8,0.0,0.0,0.0,no,no
21,None,0.2,0.5,1.0,0.6667,no,yes
21,None,0.3,0.5,1.0,0.6667,no,yes
21,None,0.4,0.5,1.0,0.6667,no,yes
21,None,0.5,0.7107,0.6187,0.6615,yes,yes
21,None,0.6,0.0,0.0,0.0,no,no
21,None,0.7,0.0,0.0,0.0,no,no
21,None,0.8,0.0,0.0,0.0,no,no
21,balanced,0.2,0.5,1.0,0.6667,no,yes
21,balanced,0.3,0.5,1.0,0.6667,no,yes
21,balanced,0.4,0.5,1.0,0.6667,no,yes
21,balanced,0.5,0.7073,0.6259,0.6641,yes,yes
21,balanced,0.6,0.0,0.0,0.0,no,no
21,balanced,0.7,0.0,0.0,0.0,no,no
21,balanced,0.8,0.0,0.0,0.0,no,no
22,None,0.2,0.5,1.0,0.6667,no,yes
22,None,0.3,0.5,1.0,0.6667,no,yes
22,None,0.4,0.5,1.0,0.6667,no,yes
22,None,0.5,0.752,0.6763,0.7121,yes,yes
22,None,0.6,0.0,0.0,0.0,no,no
22,None,0.7,0.0,0.0,0.0,no,no
22,None,0.8,0.0,0.0,0.0,no,no
22,balanced,0.2,0.5,1.0,0.6667,no,yes
22,balanced,0.3,0.5,1.0,0.6667,no,yes
22,balanced,0.4,0.5,1.0,0.6667,no,yes
22,balanced,0.5,0.754,0.6835,0.717,yes,yes
22,balanced,0.6,0.0,0.0,0.0,no,no
22,balanced,0.7,0.0,0.0,0.0,no,no
22,balanced,0.8,0.0,0.0,0.0,no,no
23,None,0.2,0.5,1.0,0.6667,no,yes
23,None,0.3,0.5,1.0,0.6667,no,yes
23,None,0.4,0.5,1.0,0.6667,no,yes
23,None,0.5,0.7302,0.6619,0.6943,yes,yes
23,None,0.6,0.0,0.0,0.0,no,no
23,None,0.7,0.0,0.0,0.0,no,no
23,None,0.8,0.0,0.0,0.0,no,no
23,balanced,0.2,0.5,1.0,0.6667,no,yes
23,balanced,0.3,0.5,1.0,0.6667,no,yes
23,balanced,0.4,0.5,1.0,0.6667,no,yes
23,balanced,0.5,0.7266,0.6691,0.6966,yes,yes
23,balanced,0.6,0.0,0.0,0.0,no,no
23,balanced,0.7,0.0,0.0,0.0,no,no
23,balanced,0.8,0.0,0.0,0.0,no,no
24,None,0.2,0.5,1.0,0.6667,no,yes
24,None,0.3,0.5,1.0,0.6667,no,yes
24,None,0.4,0.5,1.0,0.6667,no,yes
24,None,0.5,0.7542,0.6403,0.6926,yes,yes
24,None,0.6,0.0,0.0,0.0,no,no
24,None,0.7,0.0,0.0,0.0,no,no
24,None,0.8,0.0,0.0,0.0,no,no
24,balanced,0.2,0.5,1.0,0.6667,no,yes
24,balanced,0.3,0.5,1.0,0.6667,no,yes
24,balanced,0.4,0.5,1.0,0.6667,no,yes
24,balanced,0.5,0.7647,0.6547,0.7054,yes,yes
24,balanced,0.6,0.0,0.0,0.0,no,no
24,balanced,0.7,0.0,0.0,0.0,no,no
24,balanced,0.8,0.0,0.0,0.0,no,no
25,None,0.2,0.5,1.0,0.6667,no,yes
25,None,0.3,0.5,1.0,0.6667,no,yes
25,None,0.4,0.5,1.0,0.6667,no,yes
25,None,0.5,0.7119,0.6043,0.6537,yes,yes
25,None,0.6,0.0,0.0,0.0,no,no
25,None,0.7,0.0,0.0,0.0,no,no
25,None,0.8,0.0,0.0,0.0,no,no
25,balanced,0.2,0.5,1.0,0.6667,no,yes
25,balanced,0.3,0.5,1.0,0.6667,no,yes
25,balanced,0.4,0.5,1.0,0.6667,no,yes
25,balanced,0.5,0.725,0.6259,0.6718,yes,yes
25,balanced,0.6,0.0,0.0,0.0,no,no
25,balanced,0.7,0.0,0.0,0.0,no,no
25,balanced,0.8,0.0,0.0,0.0,no,no
26,None,0.2,0.5,1.0,0.6667,no,yes
26,None,0.3,0.5,1.0,0.6667,no,yes
26,None,0.4,0.5,1.0,0.6667,no,yes
26,None,0.5,0.7656,0.705,0.7341,yes,yes
26,None,0.6,0.0,0.0,0.0,no,no
26,None,0.7,0.0,0.0,0.0,no,no
26,None,0.8,0.0,0.0,0.0,no,no
26,balanced,0.2,0.5,1.0,0.6667,no,yes
26,balanced,0.3,0.5,1.0,0.6667,no,yes
26,balanced,0.4,0.5,1.0,0.6667,no,yes
26,balanced,0.5,0.7638,0.6978,0.7293,yes,yes
26,balanced,0.6,0.0,0.0,0.0,no,no
26,balanced,0.7,0.0,0.0,0.0,no,no
26,balanced,0.8,0.0,0.0,0.0,no,no
