dataset,source_file,dummy_column_name,company_id,company_name,n_obs_in_dataset,is_reference_firm
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_80,80,StoneX Group,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_81,81,Sysco,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_82,82,TD Synnex,7,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_83,83,TIAA,1,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_84,84,TJX,3,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_85,85,Target,20,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_86,86,Tesla,31,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_87,87,Travelers,6,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_88,88,Tyson Foods,10,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_89,89,UPS,2,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_90,90,USAA,10,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_91,91,Uber Technologies,15,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_92,92,United Airlines Holdings,11,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_93,93,UnitedHealth Group,1,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_96,96,Walmart,18,false
batch1_h2,type_training_leakage_filtered_variants.csv,firm_dummy_98,98,Wells Fargo,4,false
batch1_h2,type_training_leakage_filtered_variants.csv,REFERENCE_firm_id_97,97,Walt Disney,34,true (omitted)
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_1,1,AT&T,937,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_2,2,AbbVie,841,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_3,3,Albertsons,765,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_4,4,Allstate,568,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_5,5,Alphabet,476,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_6,6,Amazon,1099,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_7,7,American Airlines Group,188,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_8,8,American Express,831,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_9,9,Archer Daniels Midland,795,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_10,10,Bank of America,839,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_11,11,Boeing,970,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_12,12,Bristol-Myers Squibb,931,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_13,13,Broadcom,184,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_14,14,CVS Health,574,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_15,15,Capital One Financial,628,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_16,16,Cardinal Health,520,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_17,17,Caterpillar,891,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_18,18,Cencora,479,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_19,19,Centene,465,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_20,20,Charter Communications,664,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_21,21,Chevron,805,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_22,22,Cigna Group,586,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_23,23,Cisco Systems,1017,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_24,24,Citigroup,403,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_25,25,Coca-Cola,866,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_26,26,Comcast,1107,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_27,27,ConocoPhillips,944,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_28,28,Dell Technologies,730,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_29,29,Delta Air Lines,716,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_30,30,Elevance Health,612,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_31,31,Eli Lilly,563,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_32,32,Energy Transfer,705,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_33,33,Enterprise Products Partners,761,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_34,34,Exxon Mobil,582,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_35,35,Fannie Mae,602,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_36,36,FedEx,882,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_37,37,Ford Motor,1146,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_38,38,Freddie Mac,220,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_39,39,Galaxy Digital,137,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_41,41,General Motors,694,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_42,42,Goldman Sachs Group,1014,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_43,43,HCA Healthcare,585,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_44,44,HP,407,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_45,45,Home Depot,1397,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_46,46,Humana,758,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_47,47,IBM,546,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_48,48,Ingram Micro Holding,935,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_49,49,Intel,291,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_50,50,JPMorgan Chase,839,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_51,51,Johnson & Johnson,761,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_52,52,Kroger,888,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_53,53,Liberty Mutual Insurance Group,1018,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_54,54,Lockheed Martin,867,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_55,55,Lowe's,909,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_56,56,Marathon Petroleum,379,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_57,57,Massachusetts Mutual Life,859,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_58,58,McKesson,840,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_59,59,Merck,507,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_60,60,MetLife,779,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_61,61,Meta Platforms,151,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_62,62,Microsoft,670,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_63,63,MoonPie,930,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_64,64,Morgan Stanley,850,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_65,65,Nationwide,1149,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_66,66,New York Life Insurance,456,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_67,67,Nike,192,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_68,68,Nvidia,1132,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_69,69,Oracle,913,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_70,70,PepsiCo,817,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_71,71,Performance Food Group,3,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_72,72,Pfizer,383,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_73,73,Phillips 66,684,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_74,74,Procter & Gamble,268,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_75,75,Progressive,170,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_76,76,Prudential Financial,874,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_77,77,Publix Super Markets,852,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_78,78,RTX,865,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_79,79,State Farm Insurance,148,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_80,80,StoneX Group,852,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_81,81,Sysco,863,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_82,82,TD Synnex,488,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_83,83,TIAA,217,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_84,84,TJX,909,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_85,85,Target,595,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_86,86,Tesla,721,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_87,87,Travelers,835,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_88,88,Tyson Foods,1082,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_89,89,UPS,202,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_90,90,USAA,899,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_91,91,Uber Technologies,960,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_92,92,United Airlines Holdings,294,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_93,93,UnitedHealth Group,155,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_94,94,Valero Energy,186,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_95,95,Verizon Communications,45,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_96,96,Walmart,842,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_97,97,Walt Disney,1359,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_98,98,Wells Fargo,256,false
full_h1,integrated_h1_presence_classified_posts.csv,firm_dummy_99,99,Wendy's,977,false
full_h1,integrated_h1_presence_classified_posts.csv,REFERENCE_firm_id_40,40,General Dynamics,1493,true (omitted)
full_h2,h2_post_level_regression_ready.csv,firm_dummy_1,1,AT&T,394,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_2,2,AbbVie,425,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_3,3,Albertsons,348,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_4,4,Allstate,305,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_5,5,Alphabet,283,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_6,6,Amazon,482,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_7,7,American Airlines Group,94,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_8,8,American Express,240,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_9,9,Archer Daniels Midland,351,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_10,10,Bank of America,548,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_11,11,Boeing,363,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_12,12,Bristol-Myers Squibb,360,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_13,13,Broadcom,59,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_14,14,CVS Health,188,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_15,15,Capital One Financial,410,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_16,16,Cardinal Health,180,false
full_h2,h2_post_level_regression_ready.csv,firm_dummy_17,17,Caterpillar,342,false
