"id","tweet_url","text","final_humor_binary","final_humor_source","final_humor_label_available","final_humor_type","final_humor_type_source","final_humor_type_available","final_humor_type_group","aggressive_humor","other_humor_flag","non_humor_flag","humor_missing_type","reply_count","favorite_count","retweet_count","quote_count","bookmark_count","engagement_total","engagement_favorite_retweet","log1p_engagement_total","log1p_engagement_favorite_retweet","log1p_favorite_count","log1p_retweet_count","log1p_reply_count","log1p_quote_count","log1p_bookmark_count"
"2041317545412546926","https://x.com/Wendys/status/2041317545412546926","Tip off time here we goooooo 🫣🏀","1","human","1","","missing","0","missing","0","0","0","1","18.0","110.0","6.0","1.0","1.0","136.0","116.0","4.919980925828125","4.762173934797756","4.709530201312334","1.9459101490553132","2.9444389791664403","0.6931471805599453","0.6931471805599453"
"2041286930231373912","https://x.com/Wendys/status/2041286930231373912","You: Wow I hope so and so team wins

Me: DUNKS DUNKS DUNKS DUNKS","1","human","1","","missing","0","missing","0","0","0","1","16.0","162.0","8.0","2.0","3.0","191.0","170.0","5.2574953720277815","5.14166355650266","5.093750200806762","2.1972245773362196","2.833213344056216","1.0986122886681096","1.3862943611198906"
"2041274861461586245","https://x.com/Wendys/status/2041274861461586245","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","7.0","43.0","4.0","0.0","5.0","59.0","47.0","4.0943445622221","3.8712010109078907","3.784189633918261","1.6094379124341003","2.0794415416798357","0.0","1.791759469228055"
"2041274790418485741","https://x.com/Wendys/status/2041274790418485741","Who shall fulfill the prophecy?!?!?!?!

Tag us when you see who unlocks it 👀 https://t.co/mmdG7uqh7a","1","human","1","","missing","0","missing","0","0","0","1","28.0","218.0","32.0","3.0","18.0","299.0","250.0","5.703782474656201","5.5254529391317835","5.389071729816501","3.4965075614664802","3.367295829986474","1.3862943611198906","2.9444389791664403"
"2041273129272824054","https://x.com/Wendys/status/2041273129272824054","Get your votes in!","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","76.0","256.0","33.0","34.0","13.0","412.0","289.0","6.023447592961033","5.66988092298052","5.54907608489522","3.5263605246161616","4.343805421853684","3.5553480614894135","2.639057329615259"
"2041272778461258077","https://x.com/Wendys/status/2041272778461258077","The Bourbon Bacon Cheeseburger and Pretzel Bacon Pub Burger have made it to our championship! Get your votes in to decide who will be crowned the winner and end up back on the menu https://t.co/VIgjuIMDNF","1","human","1","affiliative","coder2","1","other_humor","0","1","0","0","220.0","1439.0","74.0","80.0","182.0","1995.0","1513.0","7.59890045687141","7.322510433997394","7.272398392570047","4.31748811353631","5.3981627015177525","4.394449154672439","5.209486152841421"
"2041270386478780749","https://x.com/Wendys/status/2041270386478780749","ONLY A FEW HOURS UNTIL SOMEONE DUNKS THEIR WAY INTO AMERICAN HISTORY","1","human","1","","missing","0","missing","0","0","0","1","20.0","154.0","7.0","2.0","2.0","185.0","161.0","5.225746673713202","5.087596335232384","5.043425116919247","2.0794415416798357","3.044522437723423","1.0986122886681096","1.0986122886681096"
"2041241219603554599","https://x.com/Wendys/status/2041241219603554599","Tonight we are anti lay ups and anti fundamentals and pro massive jams","1","human","1","","missing","0","missing","0","0","0","1","32.0","146.0","11.0","1.0","1.0","191.0","157.0","5.2574953720277815","5.062595033026967","4.990432586778736","2.4849066497880004","3.4965075614664802","0.6931471805599453","0.6931471805599453"
"2041187810728727004","https://x.com/Wendys/status/2041187810728727004","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last.","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","6.0","42.0","2.0","1.0","0.0","51.0","44.0","3.9512437185814275","3.8066624897703196","3.7612001156935624","1.0986122886681096","1.9459101490553132","0.6931471805599453","0.0"
"2041187699764163013","https://x.com/Wendys/status/2041187699764163013","woke up thinking about who’s gonna dunk in the national championship game tonight to unlock a free small fry and Frosty for America tomorrow","1","human","1","affiliative","coder2","1","other_humor","0","1","0","0","29.0","152.0","14.0","2.0","2.0","199.0","166.0","5.298317366548036","5.117993812416755","5.030437921392435","2.70805020110221","3.4011973816621555","1.0986122886681096","1.0986122886681096"
"2040186917312979266","https://x.com/Wendys/status/2040186917312979266","Oh good you made it. Introducing: The Official Dunks Menu 🏀 Order in the Wendy’s app all March Madness® long for the chance to win prizes in the Dunkstakes https://t.co/hI3HxiD7VV","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","15.0","93.0","7.0","0.0","8.0","123.0","100.0","4.820281565605037","4.61512051684126","4.543294782270004","2.0794415416798357","2.772588722239781","0.0","2.1972245773362196"
"2040186893468393651","https://x.com/Wendys/status/2040186893468393651","YOU COULD GO ALL THE WAY https://t.co/JG6srzZZTh","1","human","1","","missing","0","missing","0","0","0","1","23.0","178.0","3.0","0.0","2.0","206.0","181.0","5.332718793265369","5.204006687076795","5.187385805840755","1.3862943611198906","3.1780538303479458","0.0","1.0986122886681096"
"2040186889131479302","https://x.com/Wendys/status/2040186889131479302","keep scrolling 👇👇👇 https://t.co/O8onjjhdsH","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","5.0","111.0","2.0","0.0","3.0","121.0","113.0","4.804021044733257","4.736198448394496","4.718498871295094","1.0986122886681096","1.791759469228055","0.0","1.3862943611198906"
"2040186885704683992","https://x.com/Wendys/status/2040186885704683992","Scroll for a #MarchMadness surprise 👀 🏀 https://t.co/FJ4PuPVkOq","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","41.0","260.0","10.0","0.0","21.0","332.0","270.0","5.808142489980444","5.602118820879701","5.564520407322694","2.3978952727983707","3.7376696182833684","0.0","3.091042453358316"
"2039915068729541060","https://x.com/Wendys/status/2039915068729541060","Offer only available in-restaurant upon request at participating U.S. Wendy’s on April 7, 2026. No purchase necessary. Limit one (1) free Small Fry and Small Frosty Classic per person. A la carte only. While supplies last. Not valid for digital or delivery orders or with any other discount or offer. No substitutions.","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","8.0","35.0","0.0","0.0","7.0","50.0","35.0","3.9318256327243257","3.58351893845611","3.58351893845611","0.0","2.1972245773362196","0.0","2.0794415416798357"
"2039900754387869992","https://x.com/Wendys/status/2039900754387869992","Help us give the people what they want! If there’s a dunk during the natty everyone in America gets a free small fry and classic Frosty on April 7th https://t.co/UnfLgpYclZ","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","24.0","197.0","21.0","2.0","9.0","253.0","218.0","5.537334267018537","5.389071729816501","5.288267030694535","3.091042453358316","3.2188758248682006","1.0986122886681096","2.302585092994046"
"2039789214120996993","https://x.com/Wendys/status/2039789214120996993","Congrats to these Official Wendy’s Dunk Team athletes on making it to the Final Four. You dunked into hoops. You dunked into Frosty. You dunked into our hearts. https://t.co/b6IeqJW8YD","1","human","1","affiliative","coder2","1","other_humor","0","1","0","0","13.0","75.0","4.0","1.0","1.0","94.0","79.0","4.553876891600541","4.382026634673881","4.330733340286331","1.6094379124341003","2.639057329615259","0.6931471805599453","0.6931471805599453"
"2039714223337463977","https://x.com/Wendys/status/2039714223337463977","Vote!","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","45.0","101.0","16.0","21.0","3.0","186.0","117.0","5.231108616854587","4.770684624465665","4.624972813284271","2.833213344056216","3.828641396489095","3.091042453358316","1.3862943611198906"
"2039714041212358979","https://x.com/Wendys/status/2039714041212358979","Vote!","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","13.0","52.0","5.0","9.0","3.0","82.0","57.0","4.418840607796598","4.060443010546419","3.970291913552122","1.791759469228055","2.639057329615259","2.302585092994046","1.3862943611198906"
"2039713760378487274","https://x.com/Wendys/status/2039713760378487274","We’ve got our final four! It’s time to decide who will make it to the championship and ultimately end up back on the menu. Get your votes in now! https://t.co/Yat9QPbeFA","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","172.0","565.0","35.0","24.0","80.0","876.0","600.0","6.776506992372183","6.398594934535208","6.338594078203183","3.58351893845611","5.153291594497779","3.2188758248682006","4.394449154672439"
"2038738065678811271","https://x.com/Wendys/status/2038738065678811271","Vote!","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","17.0","53.0","5.0","2.0","0.0","77.0","58.0","4.356708826689592","4.07753744390572","3.9889840465642745","1.791759469228055","2.8903717578961645","1.0986122886681096","0.0"
"2038737809075565002","https://x.com/Wendys/status/2038737809075565002","Vote!","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","12.0","31.0","3.0","1.0","0.0","47.0","34.0","3.8712010109078907","3.5553480614894135","3.4657359027997265","1.3862943611198906","2.5649493574615367","0.6931471805599453","0.0"
"2038737532473803096","https://x.com/Wendys/status/2038737532473803096","Vote!","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","9.0","20.0","4.0","4.0","1.0","38.0","24.0","3.6635616461296463","3.2188758248682006","3.044522437723423","1.6094379124341003","2.302585092994046","1.6094379124341003","0.6931471805599453"
"2038737391863869923","https://x.com/Wendys/status/2038737391863869923","Vote!","0","human","1","non_humor","non_humor","0","non_humor","0","0","1","0","18.0","31.0","4.0","3.0","0.0","56.0","35.0","4.04305126783455","3.58351893845611","3.4657359027997265","1.6094379124341003","2.9444389791664403","1.3862943611198906","0.0"
