source_file,file_type,raw_rows,detected_label_columns,detected_text_columns,detected_id_columns,detected_date_columns,usable_for_h1_presence,reason_if_not_usable
20260615wendy's/result/wendys_h2_model_based_type_ttest_aggressive_vs_other.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_ols_full_labeled.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_ols_humor_only.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_ols_with_se_for_report.csv,csv,6,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step1_diagnostics.csv,csv,34,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step1_human_validation_results.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step1_model_based_direct_results.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step2_time_fe_diagnostics.csv,csv,27,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step2_time_fe_human_validation_results.csv,csv,56,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step2_time_fe_model_based_results.csv,csv,56,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step3_post_format_diagnostics.csv,csv,46,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step3_post_format_human_validation_results.csv,csv,56,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_step3_post_format_model_based_results.csv,csv,56,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h2_ttest_aggressive_vs_other.csv,csv,14,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_aggressive_vs_other_bin_descriptives.csv,csv,12,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_aggressive_vs_other_diagnostics.csv,csv,33,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_aggressive_vs_other_predictor_distribution.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_aggressive_vs_other_quarter_audit.csv,csv,28,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_existing_variable_candidates.csv,csv,19,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_joint_aggressive_other_decomposition_diagnostics.csv,csv,37,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_joint_aggressive_other_decomposition_results.csv,csv,21,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_centered_results.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_diagnostics.csv,csv,35,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_frequency_robustness.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_other_humor_robustness.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_period_level_results.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_primary_results.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_share_robustness.csv,csv,8,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_main_quadratic_ols_turning_points.csv,csv,32,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_moderation_centered_interaction_results.csv,csv,3,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_ols_with_se_for_report.csv,csv,15,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_pre_filtered_quarter_bin_descriptives.csv,csv,9,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_pre_filtered_quarter_diagnostics.csv,csv,35,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_pre_filtered_quarter_period_audit.csv,csv,25,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_h3_pre_quadratic_ols_centered_results.csv,csv,8,,,,,no,no explicit H1 presence label column
