tweet_id,fortune_rank,company_name,source_x_handle,humor_presence,humor_presence_score,humor_type,humor_type_score,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,classification_source,model_name,classification_confidence,classification_version
1844811461576827011,1,Amazon,@amazon,,0.785042,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.785042,existing_data_derived_humor_full_chain
1844811463376179424,1,Amazon,@amazon,0,0.486826,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.513174,existing_data_derived_humor_full_chain
1715357749725274262,1,Amazon,@amazon,0,0.647138,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.647138,existing_data_derived_humor_full_chain
1715357947721650390,1,Amazon,@amazon,0,0.479871,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520129,existing_data_derived_humor_full_chain
1715412562768990386,1,Amazon,@amazon,0,0.475957,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.524043,existing_data_derived_humor_full_chain
1715479252861096292,1,Amazon,@amazon,,0.653089,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.653089,existing_data_derived_humor_full_chain
1715489320830664867,1,Amazon,@amazon,,0.594986,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.594986,existing_data_derived_humor_full_chain
1981834445444546873,1,Amazon,@amazon,0,0.468068,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.531932,existing_data_derived_humor_full_chain
1697587623382905279,1,Amazon,@amazon,,0.713200,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.713200,existing_data_derived_humor_full_chain
1697615063622775161,1,Amazon,@amazon,,0.646372,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.646372,existing_data_derived_humor_full_chain
1697641516846440557,1,Amazon,@amazon,0,0.559533,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.559533,existing_data_derived_humor_full_chain
1963972554940362839,1,Amazon,@amazon,,0.758498,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.758498,existing_data_derived_humor_full_chain
1963972746368479334,1,Amazon,@amazon,0,0.479871,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.520129,existing_data_derived_humor_full_chain
1700151106075062380,1,Amazon,@amazon,1,0.708244,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.708244,existing_data_derived_humor_full_chain
1966294587703701678,1,Amazon,@amazon,,0.609189,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.609189,existing_data_derived_humor_full_chain
1702727744319074531,1,Amazon,@amazon,,0.624868,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.624868,existing_data_derived_humor_full_chain
1968837795897540770,1,Amazon,@amazon,,0.567932,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.567932,existing_data_derived_humor_full_chain
1837111989065199852,1,Amazon,@amazon,1,0.752044,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.752044,existing_data_derived_humor_full_chain
1837111996946223443,1,Amazon,@amazon,,0.628700,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.628700,existing_data_derived_humor_full_chain
1837111998510690758,1,Amazon,@amazon,,0.549960,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.549960,existing_data_derived_humor_full_chain
1705009064927760899,1,Amazon,@amazon,,0.650416,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.650416,existing_data_derived_humor_full_chain
1839696500915319166,1,Amazon,@amazon,0,0.453444,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.546556,existing_data_derived_humor_full_chain
1839698312359997909,1,Amazon,@amazon,0,0.470299,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.529701,existing_data_derived_humor_full_chain
1707742128099525045,1,Amazon,@amazon,,0.569737,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.569737,existing_data_derived_humor_full_chain
1774822504147611736,1,Amazon,@amazon,,0.595154,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.595154,existing_data_derived_humor_full_chain
2040970412570616055,1,Amazon,@amazon,0,0.509029,non_humorous,1.000000,0,0,0,0,1,ml,existing_repository_full_chain_classifier,0.490971,existing_data_derived_humor_full_chain
2043690690350059838,1,Amazon,@amazon,,0.605087,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.605087,existing_data_derived_humor_full_chain
2043727762679365685,1,Amazon,@amazon,,0.822689,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.822689,existing_data_derived_humor_full_chain
2043753077480796549,1,Amazon,@amazon,,0.575658,classification_missing,0.000000,0,0,0,0,0,ml,existing_repository_full_chain_classifier,0.575658,existing_data_derived_humor_full_chain
1911789133162226101,1,Amazon,@amazon,,0.685814,classification_missing,0.000000,0,0,0,0,0,rule_ml_conflict,existing_repository_full_chain_classifier,0.685814,existing_data_derived_humor_full_chain
2046227428184347017,1,Amazon,@amazon,0,0.658714,non_humorous,1.000000,0,0,0,0,1,rule,existing_repository_full_chain_classifier,0.658714,existing_data_derived_humor_full_chain
2046231628482228585,1,Amazon,@amazon,1,0.699826,self_enhancing,0.350000,0,0,1,0,0,ml,existing_repository_full_chain_classifier,0.699826,existing_data_derived_humor_full_chain
