company_name,ticker,cik,cik_padded,target_report_year,filing_date,event_trading_date,naics_code,naics_sector_code,naics_sector_name,CAR_m1_p1,CAR_m3_p3,CAR_m5_p5,CAR_m1_p1_available,CAR_m3_p3_available,CAR_m5_p5_available,car_source,car_calculation_status,missing_car_reason,future_date_flag,date_alignment_warning,CAR_m3_p3_window_n,CAR_m3_p3_nonmissing_ar_n,CAR_m3_p3_complete_window,CAR_m5_p5_window_n,CAR_m5_p5_nonmissing_ar_n,CAR_m5_p5_complete_window,CAR_m1_p1_recomputed,ar_computation_status,crosscheck_pass
JPMorgan Chase,JPM,19617,19617,2024,2025-02-14,2025-02-14,,52,Finance and Insurance,0.002987,-0.02880637,-0.0534689,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00298665,computed,True
JPMorgan Chase,JPM,19617,19617,2025,2026-02-13,2026-02-13,,52,Finance and Insurance,0.001964,-0.03101308,-0.04969734,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00196417,computed,True
Costco Wholesale,COST,909832,909832,2023,2023-10-11,2023-10-11,,44-45,Retail Trade,0.006444,-0.01663101,0.00209567,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00644375,computed,True
Costco Wholesale,COST,909832,909832,2024,2024-10-09,2024-10-09,,44-45,Retail Trade,0.006188,-0.01692867,-0.02296036,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.00618779,computed,True
Costco Wholesale,COST,909832,909832,2025,2025-10-08,2025-10-08,,44-45,Retail Trade,0.03479,0.02512567,0.03227185,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.03478981,computed,True
Cigna Group,CI,1739940,1739940,2023,2024-02-29,2024-02-29,,52,Finance and Insurance,-0.029832,-0.02772543,-0.01767465,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.02983204,computed,True
Cigna Group,CI,1739940,1739940,2024,2025-02-27,2025-02-27,,52,Finance and Insurance,-0.013821,0.03914184,0.08028578,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.01382119,computed,True
Cigna Group,CI,1739940,1739940,2025,2026-02-26,2026-02-26,,52,Finance and Insurance,0.03304,0.01997486,-0.01734325,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.03304005,computed,True
Cardinal Health,CAH,721371,721371,2023,2023-08-15,2023-08-15,,42,Wholesale Trade,-0.019706,-0.06852686,-0.07740458,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.01970568,computed,True
Cardinal Health,CAH,721371,721371,2024,2024-08-14,2024-08-14,,42,Wholesale Trade,0.066227,0.09860376,0.08889062,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.06622713,computed,True
Cardinal Health,CAH,721371,721371,2025,2025-08-12,2025-08-12,,42,Wholesale Trade,-0.072525,-0.06761858,-0.09099781,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.07252487,computed,True
Nvidia,NVDA,1045810,1045810,2023,2023-02-24,2023-02-24,,31-33,Manufacturing,0.132122,0.13442995,0.1126867,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.13212175,computed,True
Nvidia,NVDA,1045810,1045810,2024,2024-02-21,2024-02-21,,31-33,Manufacturing,0.03884,0.02253748,0.02454778,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.03884027,computed,True
Nvidia,NVDA,1045810,1045810,2025,2025-02-26,2025-02-26,,31-33,Manufacturing,-0.029483,-0.0939124,-0.05532481,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.02948338,computed,True
Meta Platforms,META,1326801,1326801,2023,2024-02-02,2024-02-02,,51,Information,0.125015,0.12270633,0.11016765,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.12501529,computed,True
Meta Platforms,META,1326801,1326801,2024,2025-01-30,2025-01-30,,51,Information,0.027278,0.09671514,0.12762772,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.0272778,computed,True
