variant,class_label,token,feature,weight,rank_abs_weight,leakage_flag
mask_wendys_brand,aggressive,wendy,word__verified wendysspicynuggs,-0.015784,2,FAIL
mask_wendys_brand,aggressive,wendys,word__wendysspicynuggs,-0.022768,1,FAIL
mask_wendys_brand,aggressive,wendys,word__verified wendysspicynuggs,-0.015784,2,FAIL
mask_wendys_brand,aggressive,frosty,word__mints frosty,0.07047,1,FAIL
mask_wendys_brand,aggressive,frosty,word__vanilla frosty,-0.021096,2,FAIL
mask_wendys_brand,aggressive,frosty,word__frosty,0.020728,3,FAIL
mask_wendys_brand,aggressive,baconator,word__breakfast baconator,0.020624,1,FAIL
mask_wendys_brand,aggressive,baconator,word__baconator with,-0.010644,2,FAIL
mask_wendys_brand,aggressive,baconator,word__baconator,-0.006316,3,FAIL
mask_wendys_brand,aggressive,nuggs,word__nuggs,-0.041697,1,FAIL
mask_wendys_brand,aggressive,nuggs,char__nuggs,-0.026263,2,FAIL
mask_wendys_brand,aggressive,nuggs,word__spicy nuggs,-0.025787,3,FAIL
mask_wendys_brand,aggressive,nuggets,word__nuggets,0.040172,1,FAIL
mask_wendys_brand,aggressive,nuggets,word__spicy nuggets,-0.014583,2,FAIL
mask_wendys_brand,aggressive,nuggets,word__4pc nuggets,-0.011119,3,FAIL
mask_wendys_brand,aggressive,spicy nuggets,word__spicy nuggets,-0.014583,1,FAIL
mask_wendys_brand,aggressive,dave,word__dave,0.134083,1,FAIL
mask_wendys_brand,aggressive,dave,word__dave single,0.079126,2,FAIL
mask_wendys_brand,aggressive,dave,word__free dave,0.05004,3,FAIL
mask_wendys_brand,aggressive,breakfast baconator,word__breakfast baconator,0.020624,1,FAIL
mask_wendys_brand,aggressive,burger king,word__burger king,0.105141,1,FAIL
mask_wendys_brand,aggressive,mcdonald,word__mcdonald,0.107072,1,FAIL
mask_wendys_brand,aggressive,mcdonald,word__mcdonald announced,0.068643,2,FAIL
mask_wendys_brand,aggressive,clown,word__clowns,0.074869,1,FAIL
mask_wendys_brand,aggressive,roast,word__nationalroastday,0.329901,1,FAIL
mask_wendys_brand,aggressive,roast,char__roast,0.162557,2,FAIL
mask_wendys_brand,aggressive,roast,word__roasting,0.115485,3,FAIL
mask_wendys_brand,aggressive,roasting,word__roasting,0.115485,1,FAIL
mask_wendys_brand,aggressive,free,word__enjoy free,0.066974,1,FAIL
