fortune_rank,company_name,official_x_handle,folder,attempted,status,posts_collected,error_type,error_message,started_at,completed_at
11,Microsoft,@microsoft,data/raw/fortune_x_2025_ranked/011_microsoft,true,success,15,,,2026-06-12T16:27:42.246332+00:00,2026-06-12T16:27:48.424821+00:00
12,JPMorgan Chase,@jpmorgan,data/raw/fortune_x_2025_ranked/012_jpmorgan_chase,true,success,15,,,2026-06-12T16:28:42.508959+00:00,2026-06-12T16:28:50.697343+00:00
13,Costco Wholesale,@Costco,data/raw/fortune_x_2025_ranked/013_costco_wholesale,true,failed,0,collector_failed,"ion, another exception occurred:  Traceback (most recent call last):   File ""/home/runner/work/x_scrapper/x_scrapper/scrape_x.py"", line 20, in <module>     asyncio.run(scrape_profile())   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 190, in run     return runner.run(main)            ^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 118, in run     return self._loop.run_until_complete(task)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete     return future.result()            ^^^^^^^^^^^^^^^   File ""/home/runner/work/x_scrapper/x_scrapper/src/x_scrapper/collection/x_scraper.py"", line 257, in scrape_profile     raise RuntimeError( RuntimeError: X profile did not render tweets. url=https://x.com/Costco, title=Costco (@Costco) / X. 쿠키가 만료됐거나 GitHub Actions 접속이 X에서 차단됐을 수 있습니다. ",2026-06-12T16:29:32.472401+00:00,2026-06-12T16:38:38.069210+00:00
14,Cigna Group,@TheCignaGroup,data/raw/fortune_x_2025_ranked/014_cigna_group,true,success,30,,,2026-06-12T16:29:53.172222+00:00,2026-06-12T16:30:06.003324+00:00
15,Cardinal Health,@cardinalhealth,data/raw/fortune_x_2025_ranked/015_cardinal_health,true,success,15,,,2026-06-12T16:30:52.181460+00:00,2026-06-12T16:30:58.499608+00:00
16,Nvidia,@nvidia,data/raw/fortune_x_2025_ranked/016_nvidia,true,success,15,,,2026-06-12T16:31:44.689117+00:00,2026-06-12T16:31:52.597250+00:00
17,Meta Platforms,@Meta,data/raw/fortune_x_2025_ranked/017_meta_platforms,true,success,15,,,2026-06-12T16:32:31.474857+00:00,2026-06-12T16:32:37.948911+00:00
18,Elevance Health,@elevancehealth,data/raw/fortune_x_2025_ranked/018_elevance_health,true,success,15,,,2026-06-12T16:33:19.261264+00:00,2026-06-12T16:33:25.611286+00:00
19,Centene,@centene,data/raw/fortune_x_2025_ranked/019_centene,true,success,15,,,2026-06-12T16:34:07.799523+00:00,2026-06-12T16:34:14.022520+00:00
20,Bank of America,@bankofamerica,data/raw/fortune_x_2025_ranked/020_bank_of_america,true,success,15,,,2026-06-12T16:34:50.090041+00:00,2026-06-12T16:34:56.946326+00:00
