company_name,quarter,post_count,aggressive_count,aggressive_intensity,aggressive_intensity_sq,mean_log1p_engagement
Walt Disney,2025-Q4,10,0,0.0,0.0,8.262357
HCA Healthcare,2026-Q2,3,0,0.0,0.0,1.535057
RTX,2025-Q3,3,0,0.0,0.0,4.18029
Uber Technologies,2025-Q3,2,0,0.0,0.0,5.894023
Oracle,2026-Q1,5,0,0.0,0.0,5.643321
Chevron,2022-Q4,2,0,0.0,0.0,5.546975
Exxon Mobil,2021-Q4,2,0,0.0,0.0,3.569434
Tyson Foods,2020-Q1,2,0,0.0,0.0,5.772938
USAA,2024-Q4,2,0,0.0,0.0,3.931634
Albertsons,2021-Q4,1,0,0.0,0.0,1.098612
Sysco,2022-Q1,3,0,0.0,0.0,1.521449
Verizon Communications,2025-Q4,1,0,0.0,0.0,6.837333
United Airlines Holdings,2026-Q2,1,0,0.0,0.0,5.533389
Marathon Petroleum,2025-Q1,1,0,0.0,0.0,2.302585
CVS Health,2022-Q2,2,0,0.0,0.0,2.312486
Ingram Micro Holding,2024-Q4,5,0,0.0,0.0,0.415888
Procter & Gamble,2023-Q3,1,0,0.0,0.0,1.609438
United Airlines Holdings,2023-Q3,2,0,0.0,0.0,6.988001
Liberty Mutual Insurance Group,2023-Q3,2,0,0.0,0.0,2.928967
Ingram Micro Holding,2025-Q3,2,0,0.0,0.0,1.242453
Ford Motor,2026-Q2,1,0,0.0,0.0,6.261492
Boeing,2026-Q1,3,0,0.0,0.0,6.243976
Oracle,2025-Q1,1,0,0.0,0.0,8.916506
Lowe's,2021-Q4,3,0,0.0,0.0,3.504164
Publix Super Markets,2022-Q4,3,1,0.333333333333,0.111111111111,4.78442
Humana,2023-Q3,7,0,0.0,0.0,1.613964
TJX,2016-Q3,5,0,0.0,0.0,0.797797
Cisco Systems,2025-Q3,2,0,0.0,0.0,1.242453
Galaxy Digital,2018-Q2,1,0,0.0,0.0,1.098612
Energy Transfer,2025-Q3,4,1,0.25,0.0625,2.087134
Comcast,2024-Q4,2,0,0.0,0.0,5.77828
PepsiCo,2021-Q2,2,0,0.0,0.0,3.352207
Sysco,2022-Q2,2,0,0.0,0.0,1.868835
USAA,2022-Q4,8,0,0.0,0.0,5.63047
CVS Health,2021-Q3,4,0,0.0,0.0,1.76619
Cardinal Health,2024-Q2,1,0,0.0,0.0,2.197225
Citigroup,2024-Q2,2,0,0.0,0.0,2.470822
Amazon,2024-Q2,5,0,0.0,0.0,5.74775
Archer Daniels Midland,2023-Q3,3,0,0.0,0.0,1.762756
Caterpillar,2023-Q1,1,0,0.0,0.0,3.951244
Tyson Foods,2022-Q2,1,0,0.0,0.0,2.890372
Pfizer,2022-Q4,5,0,0.0,0.0,4.789436
Citigroup,2024-Q3,2,0,0.0,0.0,3.064525
Citigroup,2024-Q4,3,0,0.0,0.0,1.654281
JPMorgan Chase,2022-Q3,2,0,0.0,0.0,4.06074
Liberty Mutual Insurance Group,2020-Q4,1,0,0.0,0.0,2.70805
TIAA,2023-Q2,1,0,0.0,0.0,1.609438
Humana,2023-Q4,10,0,0.0,0.0,1.119239
Delta Air Lines,2021-Q2,1,0,0.0,0.0,4.304065
Cigna Group,2022-Q4,5,0,0.0,0.0,1.647496
Eli Lilly,2025-Q4,1,0,0.0,0.0,3.218876
Sysco,2025-Q4,2,0,0.0,0.0,1.039721
Comcast,2025-Q4,7,0,0.0,0.0,6.09903
Eli Lilly,2026-Q2,2,0,0.0,0.0,2.967447
Exxon Mobil,2022-Q2,2,0,0.0,0.0,4.313472
JPMorgan Chase,2021-Q4,2,0,0.0,0.0,3.583519
Prudential Financial,2022-Q3,2,0,0.0,0.0,2.389562
