tweet_id,company_name,source_x_handle,period,year,month,log_total_engagement,humor_type,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,text_length,hashtag_count,mention_count,h2_sample_inclusion_flag
2042184072798036101,Amazon,@amazon,2026-04,2026,04,3.044522,non_humorous,0,0,0,0,1,111,0,1,1
2042291247201882402,Amazon,@amazon,2026-04,2026,04,5.463832,non_humorous,0,0,0,0,1,280,0,0,1
1910273725372473608,Amazon,@amazon,2025-04,2025,04,5.493061,non_humorous,0,0,0,0,1,95,0,0,1
1910275656451006469,Amazon,@amazon,2025-04,2025,04,3.465736,non_humorous,0,0,0,0,1,111,0,1,1
1778364823505395877,Amazon,@amazon,2024-04,2024,04,5.817111,non_humorous,0,0,0,0,1,95,0,0,1
1778408994446397775,Amazon,@amazon,2024-04,2024,04,3.931826,non_humorous,0,0,0,0,1,111,0,1,1
2047418245259669508,Amazon,@amazon,2026-04,2026,04,4.820282,non_humorous,0,0,0,0,1,207,0,1,1
2049886789335204158,Amazon,@amazon,2026-04,2026,04,6.637258,non_humorous,0,0,0,0,1,438,0,3,1
2049985011257078210,Amazon,@amazon,2026-04,2026,04,4.369448,non_humorous,0,0,0,0,1,23,0,0,1
2049985012939063409,Amazon,@amazon,2026-04,2026,04,4.158883,non_humorous,0,0,0,0,1,23,0,0,1
1956115282747122159,Amazon,@amazon,2025-08,2025,08,4.060443,non_humorous,0,0,0,0,1,23,0,0,1
1961030339742282215,Amazon,@amazon,2025-08,2025,08,7.360740,non_humorous,0,0,0,0,1,130,0,0,1
1961211315546165758,Amazon,@amazon,2025-08,2025,08,5.424950,non_humorous,0,0,0,0,1,285,0,3,1
1996642152651411932,Amazon,@amazon,2025-12,2025,12,3.433987,non_humorous,0,0,0,0,1,23,0,0,1
1999120761756246419,Amazon,@amazon,2025-12,2025,12,5.641907,non_humorous,0,0,0,0,1,150,0,0,1
2019467372609040752,Amazon,@amazon,2026-02,2026,02,10.788845,non_humorous,0,0,0,0,1,294,0,0,1
2019541009118487018,Amazon,@amazon,2026-02,2026,02,4.430817,non_humorous,0,0,0,0,1,283,0,0,1
1887611165745856598,Amazon,@amazon,2025-02,2025,02,4.488636,non_humorous,0,0,0,0,1,251,0,0,1
1887615439796342839,Amazon,@amazon,2025-02,2025,02,5.834811,non_humorous,0,0,0,0,1,141,0,0,1
2021960651246383584,Amazon,@amazon,2026-02,2026,02,5.214936,non_humorous,0,0,0,0,1,199,0,2,1
2027074148975964264,Amazon,@amazon,2026-02,2026,02,4.663439,non_humorous,0,0,0,0,1,405,0,1,1
1895150960852218252,Amazon,@amazon,2025-02,2025,02,6.021023,non_humorous,0,0,0,0,1,302,1,0,1
1877177785053229557,Amazon,@amazon,2025-01,2025,01,4.941642,non_humorous,0,0,0,0,1,422,2,1,1
1877177786835636463,Amazon,@amazon,2025-01,2025,01,3.988984,non_humorous,0,0,0,0,1,23,0,0,1
2011826742168809752,Amazon,@amazon,2026-01,2026,01,4.753590,non_humorous,0,0,0,0,1,303,0,2,1
1879696103479881976,Amazon,@amazon,2025-01,2025,01,5.545177,non_humorous,0,0,0,0,1,591,1,4,1
1879696108349485491,Amazon,@amazon,2025-01,2025,01,4.369448,non_humorous,0,0,0,0,1,23,0,0,1
2014389866671362322,Amazon,@amazon,2026-01,2026,01,4.624973,non_humorous,0,0,0,0,1,346,0,0,1
2014439760572338384,Amazon,@amazon,2026-01,2026,01,6.848005,non_humorous,0,0,0,0,1,295,0,1,1
1882450798598050219,Amazon,@amazon,2025-01,2025,01,5.303305,non_humorous,0,0,0,0,1,132,0,0,1
