company_name,period,post_count,humor_post_count,aggressive_humor_post_count,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,mean_log_total_engagement,mean_total_engagement,median_total_engagement,mean_text_length,mean_hashtag_count,mean_mention_count,h3_sample_inclusion_flag
Exxon Mobil,2020-06,3,0,0,0.0,0.0,3.995848,66.666667,89.0,218.3333,0.3333,1.6667,1
Exxon Mobil,2021-03,8,0,0,0.0,0.0,4.290371,127.25,70.5,189.25,0.5,0.625,1
Exxon Mobil,2023-11,10,1,0,0.0,0.0,5.508649,350.2,226.5,258.9,0.7,0.6,1
Exxon Mobil,2020-11,5,0,0,0.0,0.0,4.4237,138.8,54.0,187.0,0.0,0.2,1
Exxon Mobil,2021-04,10,0,0,0.0,0.0,4.464435,97.2,71.5,243.2,0.1,0.3,1
Exxon Mobil,2023-08,5,0,0,0.0,0.0,4.022052,57.2,47.0,277.6,0.2,0.2,1
Exxon Mobil,2022-02,4,0,0,0.0,0.0,4.050939,57.5,62.5,247.0,0.25,1.25,1
Exxon Mobil,2023-07,4,0,0,0.0,0.0,4.157574,67.25,54.5,252.5,0.75,0.0,1
Exxon Mobil,2022-07,8,0,0,0.0,0.0,4.126767,118.0,52.5,253.0,0.625,0.125,1
Exxon Mobil,2019-07,3,2,0,0.0,0.0,4.770779,124.0,93.0,162.6667,0.6667,0.0,1
Exxon Mobil,2023-06,7,0,0,0.0,0.0,3.960294,53.571429,52.0,231.4286,1.1429,0.2857,1
Exxon Mobil,2022-06,3,0,0,0.0,0.0,3.514675,39.0,22.0,154.0,0.3333,0.3333,1
Exxon Mobil,2023-03,6,0,0,0.0,0.0,3.59353,39.0,42.5,231.5,0.5,0.6667,1
Exxon Mobil,2021-05,2,0,0,0.0,0.0,4.714577,111.5,111.5,212.5,0.0,0.0,1
Exxon Mobil,2023-05,8,0,0,0.0,0.0,3.521203,55.0,42.5,162.0,0.375,0.0,1
Exxon Mobil,2021-09,7,0,0,0.0,0.0,4.845187,1065.428571,70.0,261.8571,0.2857,1.7143,1
Exxon Mobil,2022-09,6,0,0,0.0,0.0,3.890567,51.833333,41.5,198.8333,0.5,0.0,1
Exxon Mobil,2021-08,3,0,0,0.0,0.0,4.33357,78.0,85.0,272.6667,0.0,0.3333,1
