company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,humor_share,log_humor_count,humor_presence_any,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,ambiguity_rate,high_ambiguity_flag
Allstate,2024-01,1,@allstate,8,0,0.0,0.0,0,0.0,0.0,,0.875,1
Allstate,2024-02,1,@allstate,4,1,0.25,0.693147,1,0.25,0.333333,0.25,0.25,0
Allstate,2024-04,1,@allstate,3,0,0.0,0.0,0,0.0,0.0,,0.666667,1
Allstate,2024-05,1,@allstate,2,0,0.0,0.0,0,0.0,0.0,,0.5,1
Allstate,2024-06,1,@allstate,8,2,0.25,1.098612,1,0.25,0.5,,0.5,1
Alphabet,2015-08,1,@Alphabetlnc,2,0,0.0,0.0,0,0.0,0.0,,0.5,1
Alphabet,2026-03,1,@google,2,1,0.5,0.693147,1,0.5,1.0,,0.5,1
Alphabet,2026-04,1,@google,136,34,0.25,3.555348,1,0.25,0.53125,,0.529412,1
Alphabet,2026-05,1,@google,267,77,0.28839,4.356709,1,0.28839,0.57037,0.28839,0.494382,0
Alphabet,2026-06,1,@google,69,19,0.275362,2.995732,1,0.275362,0.542857,0.275362,0.492754,0
Amazon,2021-01,1,@amazon,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
Amazon,2023-08,1,@amazon,16,2,0.125,1.098612,1,0.125,0.222222,0.125,0.4375,0
Amazon,2023-09,1,@amazon,41,12,0.292683,2.564949,1,0.292683,0.631579,,0.536585,1
Amazon,2023-10,1,@amazon,46,14,0.304348,2.70805,1,0.304348,0.5,0.304348,0.391304,0
Amazon,2023-11,1,@amazon,55,7,0.127273,2.079442,1,0.127273,0.318182,,0.6,1
Amazon,2023-12,1,@amazon,46,2,0.043478,1.098612,1,0.043478,0.090909,,0.521739,1
Amazon,2024-01,1,@amazon,36,5,0.138889,1.791759,1,0.138889,0.277778,,0.5,1
Amazon,2024-02,1,@amazon,23,4,0.173913,1.609438,1,0.173913,0.307692,0.173913,0.434783,0
Amazon,2024-03,1,@amazon,17,5,0.294118,1.791759,1,0.294118,0.714286,,0.588235,1
Amazon,2024-04,1,@amazon,8,0,0.0,0.0,0,0.0,0.0,,0.625,1
Amazon,2024-05,1,@amazon,17,2,0.117647,1.098612,1,0.117647,0.2,0.117647,0.411765,0
Amazon,2024-06,1,@amazon,29,2,0.068966,1.098612,1,0.068966,0.166667,,0.586207,1
Amazon,2024-07,1,@amazon,26,4,0.153846,1.609438,1,0.153846,0.266667,0.153846,0.423077,0
Amazon,2024-08,1,@amazon,16,1,0.0625,0.693147,1,0.0625,0.166667,,0.625,1
Amazon,2024-09,1,@amazon,19,3,0.157895,1.386294,1,0.157895,0.333333,,0.526316,1
