company_name,period,source_x_handle_count,source_x_handle_list,total_posts,humor_count,non_humor_count,ambiguous_count,ambiguity_rate,humor_share,humor_share_ambiguity_as_zero,humor_share_ambiguity_excluded,humor_share_ambiguity_as_missing,log_humor_count,humor_presence_any,affiliative_count,self_enhancing_count,aggressive_count,self_defeating_count,affiliative_share,self_enhancing_share,aggressive_share,self_defeating_share,rare_negative_humor_count,rare_negative_humor_share,aggressive_minus_other_humor_share,aggressive_humor_usage_intensity,aggressive_humor_usage_intensity_sq,log_aggressive_count,aggressive_presence_any,aggressive_share_ambiguity_excluded,rare_negative_humor_usage_intensity,rare_negative_humor_usage_intensity_sq,humor_share_x_aggressive_intensity,humor_share_x_aggressive_intensity_sq,aggressive_presence_x_aggressive_intensity,aggressive_presence_x_aggressive_intensity_sq,v2_aggressive_candidate_count,v1_v2_disagreement_candidate_count,rare_class_candidate_count,high_ambiguity_flag,no_human_label_flag
AbbVie,2024-05,1,@abbvie,22,1,10,11,0.5,0.045455,0.045455,0.090909,,0.693147,1,0,1,0,0,0.0,0.045455,0.0,0.0,0,0.0,-0.045455,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2024-06,1,@abbvie,51,0,29,22,0.431373,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-07,1,@abbvie,36,6,24,6,0.166667,0.166667,0.166667,0.2,0.166667,1.94591,1,2,4,0,0,0.055556,0.111111,0.0,0.0,0,0.0,-0.166667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-08,1,@abbvie,9,1,7,1,0.111111,0.111111,0.111111,0.125,0.111111,0.693147,1,0,1,0,0,0.0,0.111111,0.0,0.0,0,0.0,-0.111111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-09,1,@abbvie,48,2,26,20,0.416667,0.041667,0.041667,0.071429,0.041667,1.098612,1,1,1,0,0,0.020833,0.020833,0.0,0.0,0,0.0,-0.041666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-10,1,@abbvie,35,5,19,11,0.314286,0.142857,0.142857,0.208333,0.142857,1.791759,1,2,3,0,0,0.057143,0.085714,0.0,0.0,0,0.0,-0.142857,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-11,1,@abbvie,18,1,10,7,0.388889,0.055556,0.055556,0.090909,0.055556,0.693147,1,1,0,0,0,0.055556,0.0,0.0,0.0,0,0.0,-0.055556,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2024-12,1,@abbvie,26,0,16,10,0.384615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-01,1,@abbvie,10,1,7,2,0.2,0.1,0.1,0.125,0.1,0.693147,1,0,1,0,0,0.0,0.1,0.0,0.0,0,0.0,-0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-02,1,@abbvie,21,1,15,5,0.238095,0.047619,0.047619,0.0625,0.047619,0.693147,1,1,0,0,0,0.047619,0.0,0.0,0.0,0,0.0,-0.047619,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-03,1,@abbvie,14,1,10,3,0.214286,0.071429,0.071429,0.090909,0.071429,0.693147,1,0,1,0,0,0.0,0.071429,0.0,0.0,0,0.0,-0.071429,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-04,1,@abbvie,29,1,19,9,0.310345,0.034483,0.034483,0.05,0.034483,0.693147,1,1,0,0,0,0.034483,0.0,0.0,0.0,0,0.0,-0.034483,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-05,1,@abbvie,17,1,8,8,0.470588,0.058824,0.058824,0.111111,0.058824,0.693147,1,0,1,0,0,0.0,0.058824,0.0,0.0,0,0.0,-0.058824,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-06,1,@abbvie,23,3,10,10,0.434783,0.130435,0.130435,0.230769,0.130435,1.386294,1,2,1,0,0,0.086957,0.043478,0.0,0.0,0,0.0,-0.130435,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-07,1,@abbvie,16,0,13,3,0.1875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-08,1,@abbvie,15,1,7,7,0.466667,0.066667,0.066667,0.125,0.066667,0.693147,1,0,1,0,0,0.0,0.066667,0.0,0.0,0,0.0,-0.066667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-09,1,@abbvie,38,1,18,19,0.5,0.026316,0.026316,0.052632,,0.693147,1,0,1,0,0,0.0,0.026316,0.0,0.0,0,0.0,-0.026316,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2025-10,1,@abbvie,34,1,20,13,0.382353,0.029412,0.029412,0.047619,0.029412,0.693147,1,0,1,0,0,0.0,0.029412,0.0,0.0,0,0.0,-0.029412,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2025-11,1,@abbvie,20,2,7,11,0.55,0.1,0.1,0.222222,,1.098612,1,0,2,0,0,0.0,0.1,0.0,0.0,0,0.0,-0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2025-12,1,@abbvie,9,0,4,5,0.555556,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2026-01,1,@abbvie,5,0,4,1,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2026-02,1,@abbvie,15,1,13,1,0.066667,0.066667,0.066667,0.071429,0.066667,0.693147,1,0,1,0,0,0.0,0.066667,0.0,0.0,0,0.0,-0.066667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2026-03,1,@abbvie,8,0,3,5,0.625,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
AbbVie,2026-04,1,@abbvie,23,6,14,3,0.130435,0.26087,0.26087,0.3,0.26087,1.94591,1,3,3,0,0,0.130435,0.130435,0.0,0.0,0,0.0,-0.26087,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2026-05,1,@abbvie,10,1,7,2,0.2,0.1,0.1,0.125,0.1,0.693147,1,1,0,0,0,0.1,0.0,0.0,0.0,0,0.0,-0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,1
AbbVie,2026-06,1,@abbvie,9,0,3,6,0.666667,0.0,0.0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,1,1
Albertsons,2018-05,1,@albertsons,1,0,0,1,1.0,0.0,0.0,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,7,9,0,1,1
Albertsons,2018-06,1,@albertsons,31,10,7,14,0.451613,0.322581,0.322581,0.588235,0.322581,2.397895,1,7,3,0,0,0.225806,0.096774,0.0,0.0,0,0.0,-0.32258,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,0,0,1
Albertsons,2018-07,1,@albertsons,33,7,10,16,0.484848,0.212121,0.212121,0.411765,0.212121,2.079442,1,4,3,0,0,0.121212,0.090909,0.0,0.0,0,0.0,-0.212121,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,0,0,1
Albertsons,2018-08,1,@albertsons,8,5,2,1,0.125,0.625,0.625,0.714286,0.625,1.791759,1,5,0,0,0,0.625,0.0,0.0,0.0,0,0.0,-0.625,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,0,0,1
