task,weight_setting,class_label,diagnostic_token,feature,weight,rank_abs_weight,leakage_flag
aggressive_detector,W25,aggressive,wendys,word__verified wendysspicynuggs,-0.003965,3,FAIL
aggressive_detector,W25,aggressive,frosty,word__mints frosty,0.031499,1,FAIL
aggressive_detector,W25,aggressive,frosty,word__frosty,0.023713,2,FAIL
aggressive_detector,W25,aggressive,frosty,word__vanilla frosty,-0.005115,3,FAIL
aggressive_detector,W25,aggressive,baconator,word__breakfast baconator,0.010651,1,FAIL
aggressive_detector,W25,aggressive,baconator,word__baconator,0.003914,2,FAIL
aggressive_detector,W25,aggressive,baconator,word__baconator with,-0.002681,3,FAIL
aggressive_detector,W25,aggressive,nuggs,word__nuggs,-0.0104,1,FAIL
aggressive_detector,W25,aggressive,nuggs,char__nuggs,-0.006583,2,FAIL
aggressive_detector,W25,aggressive,nuggs,word__spicy nuggs,-0.006501,3,FAIL
aggressive_detector,W25,aggressive,nuggs,word__wendysspicynuggs,-0.00574,4,FAIL
aggressive_detector,W25,aggressive,nuggs,word__verified wendysspicynuggs,-0.003965,5,FAIL
aggressive_detector,W25,aggressive,roast,word__nationalroastday,0.163024,1,FAIL
aggressive_detector,W25,aggressive,roast,char__roast,0.092167,2,FAIL
aggressive_detector,W25,aggressive,roast,word__roasting,0.091338,3,FAIL
aggressive_detector,W25,aggressive,roast,word__roast,0.051456,4,FAIL
aggressive_detector,W25,aggressive,roast,word__to roast,0.04925,5,FAIL
type_4class,W50,aggressive,wendy,word__me wendy,0.041972,1,FAIL
type_4class,W50,aggressive,wendy,word__wendys,0.027318,2,FAIL
type_4class,W50,aggressive,wendy,word__is wendy,0.022044,3,FAIL
type_4class,W50,aggressive,wendy,word__wendysspicynuggs,-0.011608,4,FAIL
type_4class,W50,aggressive,wendy,word__to wendy,-0.011218,5,FAIL
type_4class,W50,aggressive,wendys,word__wendys,0.027318,1,FAIL
type_4class,W50,aggressive,wendys,word__wendysspicynuggs,-0.011608,2,FAIL
type_4class,W50,aggressive,wendys,word__verified wendysspicynuggs,-0.00803,3,FAIL
type_4class,W50,aggressive,frosty,word__mints frosty,0.048158,1,FAIL
type_4class,W50,aggressive,frosty,word__frosty,0.0275,2,FAIL
type_4class,W50,aggressive,frosty,word__vanilla frosty,-0.010468,3,FAIL
type_4class,W50,aggressive,baconator,word__breakfast baconator,0.015283,1,FAIL
type_4class,W50,aggressive,baconator,word__baconator with,-0.005428,2,FAIL
type_4class,W50,aggressive,baconator,word__baconator,0.001758,3,FAIL
type_4class,W50,aggressive,nuggs,word__nuggs,-0.021103,1,FAIL
type_4class,W50,aggressive,nuggs,char__nuggs,-0.013353,2,FAIL
type_4class,W50,aggressive,nuggs,word__spicy nuggs,-0.013146,3,FAIL
type_4class,W50,aggressive,nuggs,word__wendysspicynuggs,-0.011608,4,FAIL
type_4class,W50,aggressive,nuggs,word__verified wendysspicynuggs,-0.00803,5,FAIL
type_4class,W50,aggressive,roast,word__nationalroastday,0.23855,1,FAIL
type_4class,W50,aggressive,roast,char__roast,0.123998,2,FAIL
type_4class,W50,aggressive,roast,word__roasting,0.10056,3,FAIL
type_4class,W50,aggressive,roast,word__roast me,0.055302,4,FAIL
type_4class,W50,aggressive,roast,word__roast,0.053622,5,FAIL
type_4class,W50,affiliative,wendy,word__wendy,-0.040508,1,FAIL
type_4class,W50,affiliative,wendy,word__is wendy,-0.034345,2,FAIL
type_4class,W50,affiliative,wendy,word__the wendy,0.03141,3,FAIL
type_4class,W50,affiliative,wendy,word__wendysspicynuggs,-0.01896,4,FAIL
type_4class,W50,affiliative,wendy,char__wendy,-0.016396,5,FAIL
type_4class,W50,affiliative,wendys,word__wendysspicynuggs,-0.01896,1,FAIL
type_4class,W50,affiliative,wendys,word__verified wendysspicynuggs,-0.013208,2,FAIL
type_4class,W50,affiliative,wendys,word__wendys,-0.00803,3,FAIL
type_4class,W50,affiliative,frosty,word__frosty,-0.037299,1,FAIL
type_4class,W50,affiliative,frosty,word__vanilla frosty,-0.015886,2,FAIL
type_4class,W50,affiliative,frosty,word__mints frosty,-0.01127,3,FAIL
type_4class,W50,affiliative,baconator,word__baconator,0.016982,1,FAIL
type_4class,W50,affiliative,baconator,word__breakfast baconator,-0.000479,2,FAIL
type_4class,W50,affiliative,baconator,word__baconator with,2.3e-05,3,FAIL
type_4class,W50,affiliative,nuggs,word__wendysspicynuggs,-0.01896,1,FAIL
type_4class,W50,affiliative,nuggs,word__verified wendysspicynuggs,-0.013208,2,FAIL
type_4class,W50,affiliative,nuggs,word__spicy nuggs,-0.011667,3,FAIL
type_4class,W50,affiliative,nuggs,char__nuggs,-0.00785,4,FAIL
type_4class,W50,affiliative,nuggs,word__nuggs,-0.006081,5,FAIL
type_4class,W50,affiliative,roast,word__nationalroastday,-0.051095,1,FAIL
type_4class,W50,affiliative,roast,char__roast,-0.035391,2,FAIL
type_4class,W50,affiliative,roast,word__roasted,-0.02081,3,FAIL
type_4class,W50,affiliative,roast,word__roasting,-0.020027,4,FAIL
type_4class,W50,affiliative,roast,word__roast,-0.019648,5,FAIL
type_4class,W50,self-enhancing,wendy,word__the wendy,-0.038046,1,FAIL
type_4class,W50,self-enhancing,wendy,word__wendysspicynuggs,0.028438,2,FAIL
type_4class,W50,self-enhancing,wendy,word__wendy app,-0.026904,3,FAIL
type_4class,W50,self-enhancing,wendy,word__to wendy,0.021188,4,FAIL
type_4class,W50,self-enhancing,wendy,word__verified wendysspicynuggs,0.019589,5,FAIL
type_4class,W50,self-enhancing,wendys,word__wendysspicynuggs,0.028438,1,FAIL
type_4class,W50,self-enhancing,wendys,word__verified wendysspicynuggs,0.019589,2,FAIL
type_4class,W50,self-enhancing,wendys,word__wendys,-0.001913,3,FAIL
type_4class,W50,self-enhancing,frosty,word__frosty,0.019486,1,FAIL
type_4class,W50,self-enhancing,frosty,word__mints frosty,-0.009488,2,FAIL
type_4class,W50,self-enhancing,frosty,word__vanilla frosty,0.003419,3,FAIL
type_4class,W50,self-enhancing,baconator,word__baconator,-0.013506,1,FAIL
type_4class,W50,self-enhancing,baconator,word__breakfast baconator,-0.004297,2,FAIL
type_4class,W50,self-enhancing,baconator,word__baconator with,0.003851,3,FAIL
type_4class,W50,self-enhancing,nuggs,word__wendysspicynuggs,0.028438,1,FAIL
type_4class,W50,self-enhancing,nuggs,word__spicy nuggs,0.02162,2,FAIL
type_4class,W50,self-enhancing,nuggs,word__nuggs,0.021405,3,FAIL
type_4class,W50,self-enhancing,nuggs,word__verified wendysspicynuggs,0.019589,4,FAIL
type_4class,W50,self-enhancing,nuggs,char__nuggs,0.017853,5,FAIL
type_4class,W50,self-enhancing,roast,word__nationalroastday,-0.06317,1,FAIL
type_4class,W50,self-enhancing,roast,word__roasted,0.043891,2,FAIL
type_4class,W50,self-enhancing,roast,word__roasting,-0.02415,3,FAIL
type_4class,W50,self-enhancing,roast,word__to roast,-0.022385,4,FAIL
